agency_id,agency_name,district_id,state_id,agency_type
AGENCY-0738,TAM-District-24 - Rural Development Department (RDD),DIST-0251,ST-06,Rural Development Department (RDD)
AGENCY-0739,GUJ-District-29 - Water Supply & Sewerage Board,DIST-0375,ST-09,Municipal Corporation (MC)
AGENCY-0740,KAR-District-24 - Public Works Department (PWD),DIST-0339,ST-08,Rural Development Department (RDD)
AGENCY-0741,RAJ-District-08 - Rural Development Department (RDD),DIST-0273,ST-07,Municipal Corporation (MC)
AGENCY-0742,MAD-District-55 - Water Supply & Sewerage Board,DIST-0227,ST-05,Rural Development Department (RDD)
AGENCY-0743,RAJ-District-43 - Municipal Corporation (MC),DIST-0308,ST-07,Rural Development Department (RDD)
AGENCY-0744,KER-District-04 - Panchayati Raj Institution (PRI),DIST-0472,ST-13,Municipal Corporation (MC)
AGENCY-0745,RAJ-District-17 - Water Supply & Sewerage Board,DIST-0282,ST-07,Municipal Corporation (MC)
AGENCY-0746,BIH-District-08 - Panchayati Raj Institution (PRI),DIST-0119,ST-03,Water Supply & Sewerage Board
AGENCY-0747,MAD-District-01 - Panchayati Raj Institution (PRI),DIST-0173,ST-05,Municipal Corporation (MC)
AGENCY-0748,WES-District-21 - Panchayati Raj Institution (PRI),DIST-0170,ST-04,Panchayati Raj Institution (PRI)
AGENCY-0749,MAH-District-35 - Public Works Department (PWD),DIST-0110,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0750,MAH-District-36 - Water Supply & Sewerage Board,DIST-0111,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0751,TEL-District-02 - Rural Development Department (RDD),DIST-0437,ST-12,Rural Development Department (RDD)
AGENCY-0752,RAJ-District-37 - Municipal Corporation (MC),DIST-0302,ST-07,Rural Development Department (RDD)
AGENCY-0753,MAD-District-03 - Public Works Department (PWD),DIST-0175,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0754,ODI-District-16 - Panchayati Raj Institution (PRI),DIST-0421,ST-11,Rural Development Department (RDD)
AGENCY-0755,WES-District-05 - Rural Development Department (RDD),DIST-0154,ST-04,Rural Development Department (RDD)
AGENCY-0756,BIH-District-16 - Water Supply & Sewerage Board,DIST-0127,ST-03,Rural Development Department (RDD)
AGENCY-0757,WES-District-07 - Municipal Corporation (MC),DIST-0156,ST-04,Water Supply & Sewerage Board
AGENCY-0758,RAJ-District-23 - Municipal Corporation (MC),DIST-0288,ST-07,Public Works Department (PWD)
AGENCY-0759,KAR-District-15 - Public Works Department (PWD),DIST-0330,ST-08,Public Works Department (PWD)
AGENCY-0760,GUJ-District-21 - Rural Development Department (RDD),DIST-0367,ST-09,Public Works Department (PWD)
AGENCY-0761,MAH-District-36 - Municipal Corporation (MC),DIST-0111,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0762,TAM-District-10 - Water Supply & Sewerage Board,DIST-0237,ST-06,Rural Development Department (RDD)
AGENCY-0763,PUN-District-03 - Rural Development Department (RDD),DIST-0544,ST-16,Public Works Department (PWD)
AGENCY-0764,UTT-District-69 - Rural Development Department (RDD),DIST-0069,ST-01,Public Works Department (PWD)
AGENCY-0765,MAH-District-23 - Rural Development Department (RDD),DIST-0098,ST-02,Water Supply & Sewerage Board
AGENCY-0766,BIH-District-14 - Rural Development Department (RDD),DIST-0125,ST-03,Water Supply & Sewerage Board
AGENCY-0767,BIH-District-14 - Water Supply & Sewerage Board,DIST-0125,ST-03,Municipal Corporation (MC)
AGENCY-0768,CHH-District-11 - Panchayati Raj Institution (PRI),DIST-0575,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0769,BIH-District-29 - Panchayati Raj Institution (PRI),DIST-0140,ST-03,Municipal Corporation (MC)
AGENCY-0770,HAR-District-14 - Public Works Department (PWD),DIST-0611,ST-18,Public Works Department (PWD)
AGENCY-0771,UTT-District-12 - Municipal Corporation (MC),DIST-0012,ST-01,Public Works Department (PWD)
AGENCY-0772,CHH-District-03 - Rural Development Department (RDD),DIST-0567,ST-17,Rural Development Department (RDD)
AGENCY-0773,HAR-District-07 - Municipal Corporation (MC),DIST-0604,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0774,PUN-District-10 - Municipal Corporation (MC),DIST-0551,ST-16,Municipal Corporation (MC)
AGENCY-0775,MAD-District-28 - Water Supply & Sewerage Board,DIST-0200,ST-05,Municipal Corporation (MC)
AGENCY-0776,CHH-District-22 - Water Supply & Sewerage Board,DIST-0586,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0777,MAD-District-50 - Water Supply & Sewerage Board,DIST-0222,ST-05,Water Supply & Sewerage Board
AGENCY-0778,MAH-District-01 - Municipal Corporation (MC),DIST-0076,ST-02,Municipal Corporation (MC)
AGENCY-0779,TEL-District-29 - Water Supply & Sewerage Board,DIST-0464,ST-12,Rural Development Department (RDD)
AGENCY-0780,HAR-District-07 - Municipal Corporation (MC),DIST-0604,ST-18,Public Works Department (PWD)
AGENCY-0781,KAR-District-02 - Public Works Department (PWD),DIST-0317,ST-08,Water Supply & Sewerage Board
AGENCY-0782,KER-District-05 - Water Supply & Sewerage Board,DIST-0473,ST-13,Municipal Corporation (MC)
AGENCY-0783,TAM-District-19 - Panchayati Raj Institution (PRI),DIST-0246,ST-06,Water Supply & Sewerage Board
AGENCY-0784,MAH-District-19 - Water Supply & Sewerage Board,DIST-0094,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0785,GUJ-District-20 - Municipal Corporation (MC),DIST-0366,ST-09,Public Works Department (PWD)
AGENCY-0786,MAH-District-18 - Public Works Department (PWD),DIST-0093,ST-02,Municipal Corporation (MC)
AGENCY-0787,UTT-District-48 - Municipal Corporation (MC),DIST-0048,ST-01,Public Works Department (PWD)
AGENCY-0788,KER-District-08 - Water Supply & Sewerage Board,DIST-0476,ST-13,Panchayati Raj Institution (PRI)
AGENCY-0789,BIH-District-21 - Panchayati Raj Institution (PRI),DIST-0132,ST-03,Municipal Corporation (MC)
AGENCY-0790,TEL-District-16 - Municipal Corporation (MC),DIST-0451,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0791,AND-District-12 - Rural Development Department (RDD),DIST-0391,ST-10,Rural Development Department (RDD)
AGENCY-0792,CHH-District-13 - Panchayati Raj Institution (PRI),DIST-0577,ST-17,Water Supply & Sewerage Board
AGENCY-0793,AND-District-09 - Panchayati Raj Institution (PRI),DIST-0388,ST-10,Panchayati Raj Institution (PRI)
AGENCY-0794,ODI-District-24 - Public Works Department (PWD),DIST-0429,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0795,TEL-District-13 - Public Works Department (PWD),DIST-0448,ST-12,Public Works Department (PWD)
AGENCY-0796,MAH-District-25 - Panchayati Raj Institution (PRI),DIST-0100,ST-02,Rural Development Department (RDD)
AGENCY-0797,RAJ-District-06 - Public Works Department (PWD),DIST-0271,ST-07,Rural Development Department (RDD)
AGENCY-0798,UTT-District-11 - Water Supply & Sewerage Board,DIST-0011,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0799,MAH-District-34 - Panchayati Raj Institution (PRI),DIST-0109,ST-02,Water Supply & Sewerage Board
AGENCY-0800,ASS-District-05 - Water Supply & Sewerage Board,DIST-0511,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0801,MAD-District-52 - Rural Development Department (RDD),DIST-0224,ST-05,Rural Development Department (RDD)
AGENCY-0802,CHH-District-06 - Public Works Department (PWD),DIST-0570,ST-17,Water Supply & Sewerage Board
AGENCY-0803,CHH-District-04 - Water Supply & Sewerage Board,DIST-0568,ST-17,Municipal Corporation (MC)
AGENCY-0804,ASS-District-24 - Public Works Department (PWD),DIST-0530,ST-15,Water Supply & Sewerage Board
AGENCY-0805,KAR-District-02 - Water Supply & Sewerage Board,DIST-0317,ST-08,Public Works Department (PWD)
AGENCY-0806,CHH-District-12 - Panchayati Raj Institution (PRI),DIST-0576,ST-17,Public Works Department (PWD)
AGENCY-0807,KAR-District-01 - Public Works Department (PWD),DIST-0316,ST-08,Public Works Department (PWD)
AGENCY-0808,KAR-District-15 - Water Supply & Sewerage Board,DIST-0330,ST-08,Public Works Department (PWD)
AGENCY-0809,WES-District-14 - Rural Development Department (RDD),DIST-0163,ST-04,Panchayati Raj Institution (PRI)
AGENCY-0810,UTT-District-01 - Municipal Corporation (MC),DIST-0001,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0811,CHH-District-32 - Rural Development Department (RDD),DIST-0596,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0812,UTT-District-51 - Water Supply & Sewerage Board,DIST-0051,ST-01,Water Supply & Sewerage Board
AGENCY-0813,MAD-District-48 - Panchayati Raj Institution (PRI),DIST-0220,ST-05,Water Supply & Sewerage Board
AGENCY-0814,MAD-District-11 - Rural Development Department (RDD),DIST-0183,ST-05,Rural Development Department (RDD)
AGENCY-0815,TEL-District-03 - Rural Development Department (RDD),DIST-0438,ST-12,Public Works Department (PWD)
AGENCY-0816,MAH-District-28 - Water Supply & Sewerage Board,DIST-0103,ST-02,Water Supply & Sewerage Board
AGENCY-0817,CHH-District-27 - Rural Development Department (RDD),DIST-0591,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0818,RAJ-District-39 - Panchayati Raj Institution (PRI),DIST-0304,ST-07,Public Works Department (PWD)
AGENCY-0819,GUJ-District-25 - Public Works Department (PWD),DIST-0371,ST-09,Rural Development Department (RDD)
AGENCY-0820,MAD-District-09 - Municipal Corporation (MC),DIST-0181,ST-05,Water Supply & Sewerage Board
AGENCY-0821,ODI-District-28 - Panchayati Raj Institution (PRI),DIST-0433,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0822,KAR-District-03 - Public Works Department (PWD),DIST-0318,ST-08,Water Supply & Sewerage Board
AGENCY-0823,CHH-District-05 - Rural Development Department (RDD),DIST-0569,ST-17,Public Works Department (PWD)
AGENCY-0824,MAH-District-28 - Municipal Corporation (MC),DIST-0103,ST-02,Public Works Department (PWD)
AGENCY-0825,UTT-District-64 - Municipal Corporation (MC),DIST-0064,ST-01,Public Works Department (PWD)
AGENCY-0826,UTT-District-43 - Public Works Department (PWD),DIST-0043,ST-01,Municipal Corporation (MC)
AGENCY-0827,MAD-District-53 - Rural Development Department (RDD),DIST-0225,ST-05,Municipal Corporation (MC)
AGENCY-0828,MAH-District-31 - Panchayati Raj Institution (PRI),DIST-0106,ST-02,Panchayati Raj Institution (PRI)
AGENCY-0829,ODI-District-13 - Municipal Corporation (MC),DIST-0418,ST-11,Municipal Corporation (MC)
AGENCY-0830,BIH-District-21 - Public Works Department (PWD),DIST-0132,ST-03,Panchayati Raj Institution (PRI)
AGENCY-0831,UTT-District-36 - Panchayati Raj Institution (PRI),DIST-0036,ST-01,Municipal Corporation (MC)
AGENCY-0832,ASS-District-03 - Municipal Corporation (MC),DIST-0509,ST-15,Water Supply & Sewerage Board
AGENCY-0833,KAR-District-30 - Panchayati Raj Institution (PRI),DIST-0345,ST-08,Rural Development Department (RDD)
AGENCY-0834,ODI-District-12 - Water Supply & Sewerage Board,DIST-0417,ST-11,Rural Development Department (RDD)
AGENCY-0835,UTT-District-47 - Public Works Department (PWD),DIST-0047,ST-01,Municipal Corporation (MC)
AGENCY-0836,ODI-District-06 - Public Works Department (PWD),DIST-0411,ST-11,Public Works Department (PWD)
AGENCY-0837,ODI-District-01 - Rural Development Department (RDD),DIST-0406,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0838,WES-District-14 - Municipal Corporation (MC),DIST-0163,ST-04,Municipal Corporation (MC)
AGENCY-0839,UTT-District-33 - Public Works Department (PWD),DIST-0033,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0840,GUJ-District-28 - Public Works Department (PWD),DIST-0374,ST-09,Public Works Department (PWD)
AGENCY-0841,ODI-District-18 - Panchayati Raj Institution (PRI),DIST-0423,ST-11,Public Works Department (PWD)
AGENCY-0842,GUJ-District-32 - Public Works Department (PWD),DIST-0378,ST-09,Rural Development Department (RDD)
AGENCY-0843,TEL-District-07 - Rural Development Department (RDD),DIST-0442,ST-12,Public Works Department (PWD)
AGENCY-0844,CHH-District-31 - Rural Development Department (RDD),DIST-0595,ST-17,Panchayati Raj Institution (PRI)
AGENCY-0845,ASS-District-05 - Water Supply & Sewerage Board,DIST-0511,ST-15,Water Supply & Sewerage Board
AGENCY-0846,MAD-District-39 - Water Supply & Sewerage Board,DIST-0211,ST-05,Public Works Department (PWD)
AGENCY-0847,MAD-District-30 - Public Works Department (PWD),DIST-0202,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0848,PUN-District-11 - Municipal Corporation (MC),DIST-0552,ST-16,Water Supply & Sewerage Board
AGENCY-0849,MAH-District-10 - Municipal Corporation (MC),DIST-0085,ST-02,Municipal Corporation (MC)
AGENCY-0850,RAJ-District-18 - Public Works Department (PWD),DIST-0283,ST-07,Public Works Department (PWD)
AGENCY-0851,CHH-District-02 - Rural Development Department (RDD),DIST-0566,ST-17,Municipal Corporation (MC)
AGENCY-0852,CHH-District-22 - Panchayati Raj Institution (PRI),DIST-0586,ST-17,Rural Development Department (RDD)
AGENCY-0853,RAJ-District-36 - Rural Development Department (RDD),DIST-0301,ST-07,Public Works Department (PWD)
AGENCY-0854,JHA-District-21 - Rural Development Department (RDD),DIST-0503,ST-14,Municipal Corporation (MC)
AGENCY-0855,TEL-District-16 - Panchayati Raj Institution (PRI),DIST-0451,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0856,BIH-District-01 - Panchayati Raj Institution (PRI),DIST-0112,ST-03,Municipal Corporation (MC)
AGENCY-0857,BIH-District-10 - Rural Development Department (RDD),DIST-0121,ST-03,Municipal Corporation (MC)
AGENCY-0858,HAR-District-11 - Rural Development Department (RDD),DIST-0608,ST-18,Water Supply & Sewerage Board
AGENCY-0859,BIH-District-03 - Panchayati Raj Institution (PRI),DIST-0114,ST-03,Water Supply & Sewerage Board
AGENCY-0860,RAJ-District-09 - Panchayati Raj Institution (PRI),DIST-0274,ST-07,Public Works Department (PWD)
AGENCY-0861,KAR-District-12 - Panchayati Raj Institution (PRI),DIST-0327,ST-08,Water Supply & Sewerage Board
AGENCY-0862,BIH-District-14 - Rural Development Department (RDD),DIST-0125,ST-03,Municipal Corporation (MC)
AGENCY-0863,CHH-District-20 - Rural Development Department (RDD),DIST-0584,ST-17,Municipal Corporation (MC)
AGENCY-0864,PUN-District-04 - Municipal Corporation (MC),DIST-0545,ST-16,Panchayati Raj Institution (PRI)
AGENCY-0865,BIH-District-35 - Rural Development Department (RDD),DIST-0146,ST-03,Public Works Department (PWD)
AGENCY-0866,MAH-District-20 - Panchayati Raj Institution (PRI),DIST-0095,ST-02,Public Works Department (PWD)
AGENCY-0867,UTT-District-07 - Municipal Corporation (MC),DIST-0007,ST-01,Public Works Department (PWD)
AGENCY-0868,MAH-District-13 - Panchayati Raj Institution (PRI),DIST-0088,ST-02,Water Supply & Sewerage Board
AGENCY-0869,TEL-District-14 - Public Works Department (PWD),DIST-0449,ST-12,Public Works Department (PWD)
AGENCY-0870,TEL-District-24 - Municipal Corporation (MC),DIST-0459,ST-12,Rural Development Department (RDD)
AGENCY-0871,CHH-District-24 - Water Supply & Sewerage Board,DIST-0588,ST-17,Municipal Corporation (MC)
AGENCY-0872,TEL-District-29 - Municipal Corporation (MC),DIST-0464,ST-12,Public Works Department (PWD)
AGENCY-0873,ODI-District-29 - Water Supply & Sewerage Board,DIST-0434,ST-11,Rural Development Department (RDD)
AGENCY-0874,UTT-District-10 - Rural Development Department (RDD),DIST-0010,ST-01,Rural Development Department (RDD)
AGENCY-0875,CHH-District-24 - Panchayati Raj Institution (PRI),DIST-0588,ST-17,Municipal Corporation (MC)
AGENCY-0876,HAR-District-11 - Municipal Corporation (MC),DIST-0608,ST-18,Municipal Corporation (MC)
AGENCY-0877,HAR-District-03 - Municipal Corporation (MC),DIST-0600,ST-18,Rural Development Department (RDD)
AGENCY-0878,TEL-District-15 - Rural Development Department (RDD),DIST-0450,ST-12,Rural Development Department (RDD)
AGENCY-0879,AND-District-21 - Rural Development Department (RDD),DIST-0400,ST-10,Public Works Department (PWD)
AGENCY-0880,HAR-District-22 - Panchayati Raj Institution (PRI),DIST-0619,ST-18,Municipal Corporation (MC)
AGENCY-0881,JHA-District-19 - Municipal Corporation (MC),DIST-0501,ST-14,Municipal Corporation (MC)
AGENCY-0882,JHA-District-09 - Rural Development Department (RDD),DIST-0491,ST-14,Water Supply & Sewerage Board
AGENCY-0883,TEL-District-14 - Public Works Department (PWD),DIST-0449,ST-12,Public Works Department (PWD)
AGENCY-0884,PUN-District-04 - Water Supply & Sewerage Board,DIST-0545,ST-16,Water Supply & Sewerage Board
AGENCY-0885,UTT-District-63 - Water Supply & Sewerage Board,DIST-0063,ST-01,Water Supply & Sewerage Board
AGENCY-0886,KER-District-08 - Panchayati Raj Institution (PRI),DIST-0476,ST-13,Panchayati Raj Institution (PRI)
AGENCY-0887,RAJ-District-01 - Public Works Department (PWD),DIST-0266,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0888,BIH-District-36 - Rural Development Department (RDD),DIST-0147,ST-03,Public Works Department (PWD)
AGENCY-0889,RAJ-District-19 - Public Works Department (PWD),DIST-0284,ST-07,Water Supply & Sewerage Board
AGENCY-0890,PUN-District-10 - Water Supply & Sewerage Board,DIST-0551,ST-16,Rural Development Department (RDD)
AGENCY-0891,MAH-District-26 - Panchayati Raj Institution (PRI),DIST-0101,ST-02,Municipal Corporation (MC)
AGENCY-0892,UTT-District-13 - Water Supply & Sewerage Board,DIST-0013,ST-01,Panchayati Raj Institution (PRI)
AGENCY-0893,ASS-District-02 - Public Works Department (PWD),DIST-0508,ST-15,Panchayati Raj Institution (PRI)
AGENCY-0894,RAJ-District-19 - Public Works Department (PWD),DIST-0284,ST-07,Municipal Corporation (MC)
AGENCY-0895,CHH-District-13 - Panchayati Raj Institution (PRI),DIST-0577,ST-17,Rural Development Department (RDD)
AGENCY-0896,AND-District-15 - Rural Development Department (RDD),DIST-0394,ST-10,Rural Development Department (RDD)
AGENCY-0897,KER-District-03 - Panchayati Raj Institution (PRI),DIST-0471,ST-13,Rural Development Department (RDD)
AGENCY-0898,TAM-District-26 - Water Supply & Sewerage Board,DIST-0253,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0899,UTT-District-48 - Water Supply & Sewerage Board,DIST-0048,ST-01,Municipal Corporation (MC)
AGENCY-0900,WES-District-17 - Water Supply & Sewerage Board,DIST-0166,ST-04,Water Supply & Sewerage Board
AGENCY-0901,HAR-District-20 - Rural Development Department (RDD),DIST-0617,ST-18,Water Supply & Sewerage Board
AGENCY-0902,JHA-District-18 - Water Supply & Sewerage Board,DIST-0500,ST-14,Panchayati Raj Institution (PRI)
AGENCY-0903,MAD-District-01 - Rural Development Department (RDD),DIST-0173,ST-05,Water Supply & Sewerage Board
AGENCY-0904,RAJ-District-47 - Water Supply & Sewerage Board,DIST-0312,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0905,KAR-District-16 - Public Works Department (PWD),DIST-0331,ST-08,Panchayati Raj Institution (PRI)
AGENCY-0906,KAR-District-30 - Public Works Department (PWD),DIST-0345,ST-08,Public Works Department (PWD)
AGENCY-0907,GUJ-District-20 - Rural Development Department (RDD),DIST-0366,ST-09,Municipal Corporation (MC)
AGENCY-0908,RAJ-District-20 - Panchayati Raj Institution (PRI),DIST-0285,ST-07,Public Works Department (PWD)
AGENCY-0909,TAM-District-25 - Panchayati Raj Institution (PRI),DIST-0252,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0910,WES-District-19 - Public Works Department (PWD),DIST-0168,ST-04,Water Supply & Sewerage Board
AGENCY-0911,CHH-District-29 - Water Supply & Sewerage Board,DIST-0593,ST-17,Rural Development Department (RDD)
AGENCY-0912,GUJ-District-28 - Public Works Department (PWD),DIST-0374,ST-09,Water Supply & Sewerage Board
AGENCY-0913,UTT-District-04 - Panchayati Raj Institution (PRI),DIST-0004,ST-01,Water Supply & Sewerage Board
AGENCY-0914,TEL-District-15 - Water Supply & Sewerage Board,DIST-0450,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0915,UTT-District-59 - Public Works Department (PWD),DIST-0059,ST-01,Public Works Department (PWD)
AGENCY-0916,UTT-District-36 - Panchayati Raj Institution (PRI),DIST-0036,ST-01,Public Works Department (PWD)
AGENCY-0917,BIH-District-04 - Panchayati Raj Institution (PRI),DIST-0115,ST-03,Municipal Corporation (MC)
AGENCY-0918,ODI-District-13 - Public Works Department (PWD),DIST-0418,ST-11,Water Supply & Sewerage Board
AGENCY-0919,KAR-District-26 - Rural Development Department (RDD),DIST-0341,ST-08,Rural Development Department (RDD)
AGENCY-0920,ASS-District-20 - Panchayati Raj Institution (PRI),DIST-0526,ST-15,Rural Development Department (RDD)
AGENCY-0921,TAM-District-36 - Public Works Department (PWD),DIST-0263,ST-06,Public Works Department (PWD)
AGENCY-0922,MAD-District-23 - Rural Development Department (RDD),DIST-0195,ST-05,Rural Development Department (RDD)
AGENCY-0923,UTT-District-41 - Municipal Corporation (MC),DIST-0041,ST-01,Public Works Department (PWD)
AGENCY-0924,BIH-District-24 - Water Supply & Sewerage Board,DIST-0135,ST-03,Public Works Department (PWD)
AGENCY-0925,MAD-District-02 - Panchayati Raj Institution (PRI),DIST-0174,ST-05,Rural Development Department (RDD)
AGENCY-0926,MAD-District-27 - Public Works Department (PWD),DIST-0199,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0927,TEL-District-33 - Panchayati Raj Institution (PRI),DIST-0468,ST-12,Water Supply & Sewerage Board
AGENCY-0928,ODI-District-29 - Municipal Corporation (MC),DIST-0434,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0929,AND-District-01 - Panchayati Raj Institution (PRI),DIST-0380,ST-10,Water Supply & Sewerage Board
AGENCY-0930,RAJ-District-46 - Panchayati Raj Institution (PRI),DIST-0311,ST-07,Public Works Department (PWD)
AGENCY-0931,ASS-District-27 - Panchayati Raj Institution (PRI),DIST-0533,ST-15,Municipal Corporation (MC)
AGENCY-0932,ODI-District-15 - Public Works Department (PWD),DIST-0420,ST-11,Municipal Corporation (MC)
AGENCY-0933,RAJ-District-37 - Rural Development Department (RDD),DIST-0302,ST-07,Rural Development Department (RDD)
AGENCY-0934,AND-District-16 - Public Works Department (PWD),DIST-0395,ST-10,Municipal Corporation (MC)
AGENCY-0935,ASS-District-18 - Public Works Department (PWD),DIST-0524,ST-15,Public Works Department (PWD)
AGENCY-0936,UTT-District-38 - Municipal Corporation (MC),DIST-0038,ST-01,Water Supply & Sewerage Board
AGENCY-0937,HAR-District-15 - Public Works Department (PWD),DIST-0612,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0938,UTT-District-30 - Rural Development Department (RDD),DIST-0030,ST-01,Rural Development Department (RDD)
AGENCY-0939,GUJ-District-30 - Water Supply & Sewerage Board,DIST-0376,ST-09,Water Supply & Sewerage Board
AGENCY-0940,UTT-District-40 - Rural Development Department (RDD),DIST-0040,ST-01,Rural Development Department (RDD)
AGENCY-0941,WES-District-07 - Rural Development Department (RDD),DIST-0156,ST-04,Municipal Corporation (MC)
AGENCY-0942,TEL-District-23 - Water Supply & Sewerage Board,DIST-0458,ST-12,Municipal Corporation (MC)
AGENCY-0943,MAD-District-13 - Public Works Department (PWD),DIST-0185,ST-05,Rural Development Department (RDD)
AGENCY-0944,JHA-District-13 - Water Supply & Sewerage Board,DIST-0495,ST-14,Rural Development Department (RDD)
AGENCY-0945,MAH-District-35 - Public Works Department (PWD),DIST-0110,ST-02,Public Works Department (PWD)
AGENCY-0946,AND-District-16 - Panchayati Raj Institution (PRI),DIST-0395,ST-10,Municipal Corporation (MC)
AGENCY-0947,UTT-District-16 - Panchayati Raj Institution (PRI),DIST-0016,ST-01,Public Works Department (PWD)
AGENCY-0948,MAD-District-37 - Municipal Corporation (MC),DIST-0209,ST-05,Rural Development Department (RDD)
AGENCY-0949,ODI-District-04 - Rural Development Department (RDD),DIST-0409,ST-11,Panchayati Raj Institution (PRI)
AGENCY-0950,RAJ-District-20 - Rural Development Department (RDD),DIST-0285,ST-07,Public Works Department (PWD)
AGENCY-0951,GUJ-District-11 - Water Supply & Sewerage Board,DIST-0357,ST-09,Municipal Corporation (MC)
AGENCY-0952,TEL-District-27 - Water Supply & Sewerage Board,DIST-0462,ST-12,Public Works Department (PWD)
AGENCY-0953,JHA-District-09 - Rural Development Department (RDD),DIST-0491,ST-14,Municipal Corporation (MC)
AGENCY-0954,HAR-District-13 - Water Supply & Sewerage Board,DIST-0610,ST-18,Panchayati Raj Institution (PRI)
AGENCY-0955,ASS-District-13 - Municipal Corporation (MC),DIST-0519,ST-15,Public Works Department (PWD)
AGENCY-0956,BIH-District-38 - Water Supply & Sewerage Board,DIST-0149,ST-03,Water Supply & Sewerage Board
AGENCY-0957,PUN-District-11 - Rural Development Department (RDD),DIST-0552,ST-16,Rural Development Department (RDD)
AGENCY-0958,JHA-District-17 - Public Works Department (PWD),DIST-0499,ST-14,Water Supply & Sewerage Board
AGENCY-0959,GUJ-District-28 - Municipal Corporation (MC),DIST-0374,ST-09,Panchayati Raj Institution (PRI)
AGENCY-0960,HAR-District-10 - Municipal Corporation (MC),DIST-0607,ST-18,Public Works Department (PWD)
AGENCY-0961,KAR-District-10 - Water Supply & Sewerage Board,DIST-0325,ST-08,Public Works Department (PWD)
AGENCY-0962,TEL-District-22 - Rural Development Department (RDD),DIST-0457,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0963,PUN-District-06 - Panchayati Raj Institution (PRI),DIST-0547,ST-16,Public Works Department (PWD)
AGENCY-0964,UTT-District-13 - Municipal Corporation (MC),DIST-0013,ST-01,Water Supply & Sewerage Board
AGENCY-0965,MAD-District-09 - Water Supply & Sewerage Board,DIST-0181,ST-05,Panchayati Raj Institution (PRI)
AGENCY-0966,UTT-District-37 - Panchayati Raj Institution (PRI),DIST-0037,ST-01,Water Supply & Sewerage Board
AGENCY-0967,WES-District-06 - Water Supply & Sewerage Board,DIST-0155,ST-04,Municipal Corporation (MC)
AGENCY-0968,TAM-District-19 - Municipal Corporation (MC),DIST-0246,ST-06,Panchayati Raj Institution (PRI)
AGENCY-0969,UTT-District-53 - Water Supply & Sewerage Board,DIST-0053,ST-01,Rural Development Department (RDD)
AGENCY-0970,GUJ-District-05 - Municipal Corporation (MC),DIST-0351,ST-09,Public Works Department (PWD)
AGENCY-0971,TEL-District-12 - Rural Development Department (RDD),DIST-0447,ST-12,Panchayati Raj Institution (PRI)
AGENCY-0972,RAJ-District-18 - Municipal Corporation (MC),DIST-0283,ST-07,Public Works Department (PWD)
AGENCY-0973,UTT-District-67 - Panchayati Raj Institution (PRI),DIST-0067,ST-01,Public Works Department (PWD)
AGENCY-0974,WES-District-02 - Municipal Corporation (MC),DIST-0151,ST-04,Water Supply & Sewerage Board
AGENCY-0975,ODI-District-25 - Rural Development Department (RDD),DIST-0430,ST-11,Water Supply & Sewerage Board
AGENCY-0976,TAM-District-25 - Public Works Department (PWD),DIST-0252,ST-06,Municipal Corporation (MC)
AGENCY-0977,KAR-District-05 - Rural Development Department (RDD),DIST-0320,ST-08,Municipal Corporation (MC)
AGENCY-0978,TEL-District-14 - Rural Development Department (RDD),DIST-0449,ST-12,Public Works Department (PWD)
AGENCY-0979,KAR-District-05 - Public Works Department (PWD),DIST-0320,ST-08,Municipal Corporation (MC)
AGENCY-0980,RAJ-District-08 - Rural Development Department (RDD),DIST-0273,ST-07,Panchayati Raj Institution (PRI)
AGENCY-0981,TAM-District-06 - Rural Development Department (RDD),DIST-0233,ST-06,Rural Development Department (RDD)
AGENCY-0982,ODI-District-14 - Water Supply & Sewerage Board,DIST-0419,ST-11,Municipal Corporation (MC)
